"#","Reference","Qty","Value","Footprint","DNP"
"1","C1, C3","2","0.33uF","Capacitor_Tantalum_SMD:CP_EIA-2012-12_Kemet-R",""
"2","C2, C4","2","0.1uF","Capacitor_Tantalum_SMD:CP_EIA-2012-12_Kemet-R",""
"3","C9","1","100 nF","Capacitor_SMD:C_0805_2012Metric",""
"4","C10, C12","2","100 pF","Capacitor_SMD:C_1206_3216Metric",""
"5","D1","1","D_Zener","Diode_SMD:D_1206_3216Metric","DNP"
"6","J1","1","Screw_Terminal_01x08","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-3-8-5.08_1x08_P5.08mm_Horizontal",""
"7","J2","1","Conn_01x01","Connector_PinHeader_1.00mm:PinHeader_1x01_P1.00mm_Vertical","DNP"
"8","J3, J4, J5, J6, J7, J8","6","SMA","Connector_Coaxial:SMA_Molex_73251-1153_EdgeMount_Horizontal",""
"9","R1, R6","2","0","Resistor_SMD:R_1206_3216Metric",""
"10","R2, R15","2","Inf","Resistor_SMD:R_1206_3216Metric","DNP"
"11","R3","1","60.3","Resistor_SMD:R_0805_2012Metric",""
"12","R9","1","1430","Resistor_SMD:R_1206_3216Metric",""
"13","R10","1","3.74k","Resistor_SMD:R_0805_2012Metric",""
"14","R11","1","2k","Resistor_SMD:R_0805_2012Metric",""
"15","R12","1","1007","Resistor_SMD:R_1206_3216Metric",""
"16","R_pot1, R_pot2","2","10k","Potentiometer_THT:Potentiometer_Bourns_3006P_Horizontal",""
"17","Rf1, Rf2","2","10k","Resistor_SMD:R_1206_3216Metric",""
"18","U1","1","L7815","Package_TO_SOT_THT:TO-220-3_Horizontal_TabDown",""
"19","U2","1","L7805","Package_TO_SOT_THT:TO-220-3_Horizontal_TabDown",""
"20","U3","1","ADL5902ACPZ-R7","imports:CP_16_20_ADI",""
"21","U4","1","LM358","Package_DIP:DIP-8_W7.62mm",""
